director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Edward Burns,Shari Albert,Maxine Bahns,Catharine Bolz,Comedy Drama Romance,the brothers mcmullen,Shari Albert Maxine Bahns Catharine Bolz Edward Burns Comedy Drama Romance
Christopher Cain,Stephen Lang,Ryan Slater,Yi Ding,Action Adventure Drama Family,the amazing panda adventure,Stephen Lang Ryan Slater Yi Ding Christopher Cain Action Adventure Drama Family
Scott Kalvert,Leonardo DiCaprio,Lorraine Bracco,James Madio,Drama Crime,the basketball diaries,Leonardo DiCaprio Lorraine Bracco James Madio Scott Kalvert Drama Crime
Mike Newell,Alan Rickman,Hugh Grant,Georgina Cates,Romance Drama Comedy,an awfully big adventure,Alan Rickman Hugh Grant Georgina Cates Mike Newell Romance Drama Comedy
Hal Hartley,Isabelle Huppert,Martin Donovan,Elina Löwensohn,Crime Comedy Drama Thriller,amateur,Isabelle Huppert Martin Donovan Elina Löwensohn Hal Hartley Crime Comedy Drama Thriller
Ron Howard,Tom Hanks,Bill Paxton,Kevin Bacon,Drama,apollo 13,Tom Hanks Bill Paxton Kevin Bacon Ron Howard Drama
Michael Caton-Jones,Liam Neeson,Jessica Lange,John Hurt,Adventure,rob roy,Liam Neeson Jessica Lange John Hurt Michael Caton-Jones Adventure
Abel Ferrara,Lili Taylor,Christopher Walken,Annabella Sciorra,Drama Horror,the addiction,Lili Taylor Christopher Walken Annabella Sciorra Abel Ferrara Drama Horror
Joel Schumacher,Val Kilmer,Tommy Lee Jones,Jim Carrey,Action Crime Fantasy,batman forever,Val Kilmer Tommy Lee Jones Jim Carrey Joel Schumacher Action Crime Fantasy
Luis Buñuel,Catherine Deneuve,Michel Piccoli,Jean Sorel,Drama Romance,belle de jour,Catherine Deneuve Michel Piccoli Jean Sorel Luis Buñuel Drama Romance
John Boorman,Patricia Arquette,Frances McDormand,U Aung Ko,Drama Thriller,beyond rangoon,Patricia Arquette Frances McDormand U Aung Ko John Boorman Drama Thriller
Paul Auster Wayne Wang,Harvey Keitel,Lou Reed,Michael J. Fox,Comedy,blue in the face,Harvey Keitel Lou Reed Michael J. Fox Paul Auster Wayne Wang Comedy
Michael Moore,John Candy,Alan Alda,Rhea Perlman,Action Comedy,canadian bacon,John Candy Alan Alda Rhea Perlman Michael Moore Action Comedy
Brad Silberling,Christina Ricci,Bill Pullman,Cathy Moriarty,Fantasy Comedy Family,casper,Christina Ricci Bill Pullman Cathy Moriarty Brad Silberling Fantasy Comedy Family
Spike Lee,Harvey Keitel,John Turturro,Delroy Lindo,Mystery Crime Drama,clockers,Harvey Keitel John Turturro Delroy Lindo Spike Lee Mystery Crime Drama
Frank Marshall,Laura Linney,Dylan Walsh,Ernie Hudson,Action Adventure Drama Mystery Sci-Fi Thriller,congo,Laura Linney Dylan Walsh Ernie Hudson Frank Marshall Action Adventure Drama Mystery Sci-Fi Thriller
Tony Scott,Denzel Washington,Gene Hackman,Matt Craven,Action Thriller Drama,crimson tide,Denzel Washington Gene Hackman Matt Craven Tony Scott Action Thriller Drama
Terry Zwigoff,Robert Crumb,Aline Kominsky,Charles Crumb,Documentary,crumb,Robert Crumb Aline Kominsky Charles Crumb Terry Zwigoff Documentary
Robert Rodriguez,Antonio Banderas,Salma Hayek,Joaquim de Almeida,Thriller Action Crime,desperado,Antonio Banderas Salma Hayek Joaquim de Almeida Robert Rodriguez Thriller Action Crime
Carl Franklin,Denzel Washington,Tom Sizemore,Jennifer Beals,Drama Mystery Thriller,devil in a blue dress,Denzel Washington Tom Sizemore Jennifer Beals Carl Franklin Drama Mystery Thriller
John McTiernan,Bruce Willis,Jeremy Irons,Samuel L. Jackson,Action Thriller,die hard: with a vengeance,Bruce Willis Jeremy Irons Samuel L. Jackson John McTiernan Action Thriller
Gregg Araki,Rose McGowan,James Duval,Johnathon Schaech,Action Comedy Crime Drama,the doom generation,Rose McGowan James Duval Johnathon Schaech Gregg Araki Action Comedy Crime Drama
Christopher Menaul,Embeth Davidtz,Tom Bell,Gemma Jones,Drama Crime,feast of july,Embeth Davidtz Tom Bell Gemma Jones Christopher Menaul Drama Crime
Jerry Zucker,Sean Connery,Richard Gere,Julia Ormond,Action Adventure Drama Romance,first knight,Sean Connery Richard Gere Julia Ormond Jerry Zucker Action Adventure Drama Romance
Dwight H. Little,Jason James Richter,Michael Madsen,Jayne Atkinson,Adventure,free willy 2 - the adventure home,Jason James Richter Michael Madsen Jayne Atkinson Dwight H. Little Adventure
Iain Softley,Jonny Lee Miller,Angelina Jolie,Jesse Bradford,Action Crime Thriller Drama,hackers,Jonny Lee Miller Angelina Jolie Jesse Bradford Iain Softley Action Crime Thriller Drama
Christopher Ashley,Steven Weber,Patrick Stewart,Michael T. Weiss,Comedy Drama Romance,jeffrey,Steven Weber Patrick Stewart Michael T. Weiss Christopher Ashley Comedy Drama Romance
Robert Longo,Keanu Reeves,Dina Meyer,Takeshi Kitano,Adventure Action Drama Sci-Fi Thriller,johnny mnemonic,Keanu Reeves Dina Meyer Takeshi Kitano Robert Longo Adventure Action Drama Sci-Fi Thriller
Danny Cannon,Sylvester Stallone,Diane Lane,Armand Assante,Sci-Fi,judge dredd,Sylvester Stallone Diane Lane Armand Assante Danny Cannon Sci-Fi
John Fortenberry,Pauly Shore,Tia Carrere,Stanley Tucci,Comedy Drama,jury duty,Pauly Shore Tia Carrere Stanley Tucci John Fortenberry Comedy Drama
Larry Clark,Leo Fitzpatrick,Rosario Dawson,Chloë Sevigny,Drama Crime,kids,Leo Fitzpatrick Rosario Dawson Chloë Sevigny Larry Clark Drama Crime
Tom DiCillo,Steve Buscemi,Catherine Keener,Dermot Mulroney,Drama Comedy,living in oblivion,Steve Buscemi Catherine Keener Dermot Mulroney Tom DiCillo Drama Comedy
Clive Barker,Scott Bakula,Kevin J. O'Connor,Famke Janssen,Mystery Horror Thriller,lord of illusions,Scott Bakula Kevin J. O'Connor Famke Janssen Clive Barker Mystery Horror Thriller
Denys Arcand,Thomas Gibson,Ruth Marshall,Cameron Bancroft,Comedy Drama,love & human remains,Thomas Gibson Ruth Marshall Cameron Bancroft Denys Arcand Comedy Drama
Kevin Smith,Jason Lee,Jeremy London,Shannen Doherty,Romance Comedy,mallrats,Jason Lee Jeremy London Shannen Doherty Kevin Smith Romance Comedy
Bryan Spicer,Amy Jo Johnson,Jason David Frank,David Yost,Action Adventure Sci-Fi Family Fantasy,mighty morphin power rangers: the movie,Amy Jo Johnson Jason David Frank David Yost Bryan Spicer Action Adventure Sci-Fi Family Fantasy
David Anspaugh,Elizabeth Perkins,Gwyneth Paltrow,Kathleen Turner,Comedy Drama Romance,moonlight and valentino,Elizabeth Perkins Gwyneth Paltrow Kathleen Turner David Anspaugh Comedy Drama Romance
Anthony Waller,Marina Zudina,Fay Ripley,Evan Richards,Thriller Foreign,mute witness,Marina Zudina Fay Ripley Evan Richards Anthony Waller Thriller Foreign
Michael Almereyda,Elina Löwensohn,Peter Fonda,David Lynch,Horror Thriller,nadja,Elina Löwensohn Peter Fonda David Lynch Michael Almereyda Horror Thriller
Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold,Comedy,nine months,Hugh Grant Julianne Moore Tom Arnold Chris Columbus Comedy
Gregory Widen,Christopher Walken,Elias Koteas,Virginia Madsen,Fantasy Horror Thriller,the prophecy,Christopher Walken Elias Koteas Virginia Madsen Gregory Widen Fantasy Horror Thriller
Paul Verhoeven,Elizabeth Berkley,Kyle MacLachlan,Gina Gershon,Drama,showgirls,Elizabeth Berkley Kyle MacLachlan Gina Gershon Paul Verhoeven Drama
Wayne Wang Paul Auster,Harvey Keitel,William Hurt,Giancarlo Esposito,Comedy Drama,smoke,Harvey Keitel William Hurt Giancarlo Esposito Wayne Wang Paul Auster Comedy Drama
Lasse Hallström,Julia Roberts,Dennis Quaid,Robert Duvall,Comedy,something to talk about,Julia Roberts Dennis Quaid Robert Duvall Lasse Hallström Comedy
Roger Donaldson,Natasha Henstridge,Ben Kingsley,Michael Madsen,Sci-Fi Horror Action,species,Natasha Henstridge Ben Kingsley Michael Madsen Roger Donaldson Sci-Fi Horror Action
James Keach,Robert Duvall,Aidan Quinn,Frances Fisher,Drama,the stars fell on henrietta,Robert Duvall Aidan Quinn Frances Fisher James Keach Drama
Kathryn Bigelow,Ralph Fiennes,Angela Bassett,Tom Sizemore,Crime Drama Sci-Fi Thriller,strange days,Ralph Fiennes Angela Bassett Tom Sizemore Kathryn Bigelow Crime Drama Sci-Fi Thriller
Jacques Demy,Catherine Deneuve,Nino Castelnuovo,Anne Vernon,Drama Romance,the umbrellas of cherbourg,Catherine Deneuve Nino Castelnuovo Anne Vernon Jacques Demy Drama Romance
Wesley Strick,Daryl Hannah,Keith Carradine,Moira Kelly,Thriller,the tie that binds,Daryl Hannah Keith Carradine Moira Kelly Wesley Strick Thriller
Martha Coolidge,Patrick Swayze,Mary Elizabeth Mastrantonio,Joseph Mazzello,Drama Fantasy,three wishes,Patrick Swayze Mary Elizabeth Mastrantonio Joseph Mazzello Martha Coolidge Drama Fantasy
Agnieszka Holland,Leonardo DiCaprio,David Thewlis,Romane Bohringer,Drama Romance,total eclipse,Leonardo DiCaprio David Thewlis Romane Bohringer Agnieszka Holland Drama Romance
Beeban Kidron,Patrick Swayze,Wesley Snipes,John Leguizamo,Comedy,"to wong foo, thanks for everything! julie newmar",Patrick Swayze Wesley Snipes John Leguizamo Beeban Kidron Comedy
Geoff Murphy,Steven Seagal,Eric Bogosian,Everett McGill,Action Thriller,under siege 2: dark territory,Steven Seagal Eric Bogosian Everett McGill Geoff Murphy Action Thriller
Diane Keaton,Andie MacDowell,John Turturro,Michael Richards,Comedy Drama Family,unstrung heroes,Andie MacDowell John Turturro Michael Richards Diane Keaton Comedy Drama Family
Douglas Keeve,Sandra Bernhard,Isaac Mizrahi,Naomi Campbell,Documentary,unzipped,Sandra Bernhard Isaac Mizrahi Naomi Campbell Douglas Keeve Documentary
Alfonso Aráu,Keanu Reeves,Aitana Sánchez-Gijón,Anthony Quinn,Drama Romance,a walk in the clouds,Keanu Reeves Aitana Sánchez-Gijón Anthony Quinn Alfonso Aráu Drama Romance
Kevin Reynolds,Kevin Costner,Chaim Girafi,Rick Aviles,Adventure Action,waterworld,Kevin Costner Chaim Girafi Rick Aviles Kevin Reynolds Adventure Action
Desmond Nakano,John Travolta,Harry Belafonte,Kelly Lynch,Drama,white man's burden,John Travolta Harry Belafonte Kelly Lynch Desmond Nakano Drama
Greg Beeman,Daniel Stern,Jon Polito,Brad Sullivan,Adventure Action Comedy Crime Family,bushwhacked,Daniel Stern Jon Polito Brad Sullivan Greg Beeman Adventure Action Comedy Crime Family
Nikita Mikhalkov,Nikita Mikhalkov,Oleg Menshikov,Ingeborga Dapkunaite,Drama,burnt by the sun,Nikita Mikhalkov Oleg Menshikov Ingeborga Dapkunaite Nikita Mikhalkov Drama
Mil?o Man?evski,Katrin Cartlidge,Rade Serbedzija,Grégoire Colin,Drama War,before the rain,Katrin Cartlidge Rade Serbedzija Grégoire Colin Mil?o Man?evski Drama War
Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Drama Romance,before sunrise,Ethan Hawke Julie Delpy Andrea Eckert Richard Linklater Drama Romance
Tamra Davis,Adam Sandler,Darren McGavin,Bridgette Wilson,Comedy,billy madison,Adam Sandler Darren McGavin Bridgette Wilson Tamra Davis Comedy
Guy Ferland,Alicia Silverstone,Jeremy London,J.T. Walsh,Drama Thriller,the babysitter,Alicia Silverstone Jeremy London J.T. Walsh Guy Ferland Drama Thriller
Herbert Ross,Whoopi Goldberg,Mary-Louise Parker,Drew Barrymore,Comedy Drama,boys on the side,Whoopi Goldberg Mary-Louise Parker Drew Barrymore Herbert Ross Comedy Drama
Stuart Gordon,Jeffrey Combs,Barbara Crampton,Jonathan Fuller,Thriller Drama Horror Mystery,castle freak,Jeffrey Combs Barbara Crampton Jonathan Fuller Stuart Gordon Thriller Drama Horror Mystery
Pat O'Connor,Chris O'Donnell,Minnie Driver,Geraldine O'Rawe,Drama Family Romance,circle of friends,Chris O'Donnell Minnie Driver Geraldine O'Rawe Pat O'Connor Drama Family Romance
Kevin Smith,Brian O'Halloran,Jeff Anderson,Jason Mewes,Comedy,clerks,Brian O'Halloran Jeff Anderson Jason Mewes Kevin Smith Comedy
Jeremy Leven,Johnny Depp,Marlon Brando,Faye Dunaway,Romance Drama Comedy,don juan demarco,Johnny Depp Marlon Brando Faye Dunaway Jeremy Leven Romance Drama Comedy
Barry Levinson,Michael Douglas,Demi Moore,Donald Sutherland,Drama Thriller Crime Mystery Romance,disclosure,Michael Douglas Demi Moore Donald Sutherland Barry Levinson Drama Thriller Crime Mystery Romance
René Bonnière,Patsy Kensit,Bruce Greenwood,Andrew McCarthy,Thriller,dream man,Patsy Kensit Bruce Greenwood Andrew McCarthy René Bonnière Thriller
John Badham,Wesley Snipes,Gary Busey,Yancy Butler,Action Adventure Thriller,drop zone,Wesley Snipes Gary Busey Yancy Butler John Badham Action Adventure Thriller
Jack Baran,Dylan McDermott,Nancy Travis,James Le Gros,Crime Comedy Fantasy,destiny turns on the radio,Dylan McDermott Nancy Travis James Le Gros Jack Baran Crime Comedy Fantasy
Roman Polanski,Sigourney Weaver,Ben Kingsley,Stuart Wilson,Drama Thriller Mystery,death and the maiden,Sigourney Weaver Ben Kingsley Stuart Wilson Roman Polanski Drama Thriller Mystery
Taylor Hackford,Kathy Bates,Jennifer Jason Leigh,Judy Parfitt,Crime Drama Mystery,dolores claiborne,Kathy Bates Jennifer Jason Leigh Judy Parfitt Taylor Hackford Crime Drama Mystery
Peter Farrelly Bobby Farrelly,Jim Carrey,Jeff Daniels,Lauren Holly,Comedy,dumb and dumber,Jim Carrey Jeff Daniels Lauren Holly Peter Farrelly Bobby Farrelly Comedy
Ang Lee,Sihung Lung,Yu-Wen Wang,Jacklyn Wu ,Comedy Drama Romance,eat drink man woman,Sihung Lung Yu-Wen Wang Jacklyn Wu  Ang Lee Comedy Drama Romance
Atom Egoyan,Bruce Greenwood,Mia Kirshner,Elias Koteas,Drama Mystery,exotica,Bruce Greenwood Mia Kirshner Elias Koteas Atom Egoyan Drama Mystery
Garry Marshall,Dana Delany,Paul Mercurio,Rosie O'Donnell,Thriller Comedy Crime Romance,exit to eden,Dana Delany Paul Mercurio Rosie O'Donnell Garry Marshall Thriller Comedy Crime Romance
Tim Burton,Johnny Depp,Martin Landau,Sarah Jessica Parker,Comedy Drama History,ed wood,Johnny Depp Martin Landau Sarah Jessica Parker Tim Burton Comedy Drama History
Lawrence Kasdan,Meg Ryan,Kevin Kline,Timothy Hutton,Comedy Romance,french kiss,Meg Ryan Kevin Kline Timothy Hutton Lawrence Kasdan Comedy Romance
